ID,Jméno místa,E-mail,Webová stránka / profil,Lokalita - kraj,Lokalita do 90 minut,Kapacita text,Kapacita max (číslo),Architektonický typ,Ubytování,Ubytování normalizace,Služby místa,Catering a pití,Catering normalizace,Večerní party,Party normalizace,Přidané hodnoty,Pronájem,Průměrná cena svatby,Další poznámka,Zdroj dohledání webu
12,Barešův ranč Lužec nad Cidlinou 247,recepce@baresuvranc.cz,https://baresuvranc.cz,Je nám to jedno,Je nám to jedno,do 60,60,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Červen - Srpen využití bazénu, poloha restaurace u rybníku, aktivity - lukostřelba, koně",Dle domluvy,"do 200.000,-",,https://baresuvranc.cz
13,Restaurace u kurtu Velká Losenice,wings39@seznam.cz,https://www.restauraceukurtu.cz/,Je nám to jedno,Je nám to jedno,do 150,150,"Mlýn, stodola, statek",Ano - v okolí do 10 minut,"ano, přímo v místě",Pouze obřad a hostina,Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Pejsek možný zahrádka u rybníčku bezbariérový přístup,Dle domluvy,Dle počtu hostů,,https://www.restauraceukurtu.cz/
14,Areál Císařská louka,produkce@cisarska-louka.cz,https://cisarska-louka.cz,Praha,,nad 150,150,"Příroda (louka, les, u vody)",Nemáme,Nemáme,Pouze obřad a hostina,Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Exkluzivní pronájem celého Areálu, bezplatné parkování bez omezení, přímo u vody - vlastní molo, možnost domluvit si rozšíření nabídky cateringu, svatební obřad přímo v Areálu","do 100.000,-","záleží na tom, pro kolik je svatba osob",,https://cisarska-louka.cz
15,Dvůr Perlová voda,svatby@dvurperlovavoda.cz,https://dvurperlovavoda.cz,Ústecký,od Prahy,nad 150,150,"Mlýn, stodola, statek",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Jsme krásný statek/areál s jezírkem plný zeleně, květin a bylinek. Máme venkovní bazén se slanou vodou. Součástí naší restaurace je i minipivovar. Nabízíme wellness i procedury, možnost ubytováním psů.","Lze si pronajmout celý areál nebo pouze její jednotlivé části (místo na obřad, vnitřní prostory, zahradu na odpolední párty,...). Ceny za pronájem prostor se proto u nás pohybují od 50000 Kč do 185000 Kč.",Záleží na velikosti a požadavcích svatby. Takže u nás může být svatba do 100.000 Kč i nad 500.000 Kč.,"Naše restaurace byla nově zařazena do Michelinského průvodce s tím, že jsme získali nejen zelenou michelinskou hvězdu za udržitelnost, ale také ocenění Bib Gourmand, které oceňuje vynikající poměr ceny a kvality podávaného jídla.",https://dvurperlovavoda.cz
16,Stodola Borohrádek,info@stodolaborohradek.cz,https://stodolaborohradek.cz,Královohradecký,od Prahy,do 150,150,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,,nevyplněno,Domácí mazlíčci povolení.,Ceny pronájmů jsou rozděleny do sezónních a mimosezóních cen.,Dle snoubenců.,,https://stodolaborohradek.cz
17,resort Počepice a resort u Čápa,tikovsky@seznam.cz,https://tikovskyresort.webnode.cz/,Středočeský,od Prahy,do 60,60,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě",,Dle domluvy,dle domluvy,Dle domluvy,ověřit detail,"sauna, vířivka, okrasné jezírko","do 50.000,-","do 100.000,-",mám dva objekty,https://tikovskyresort.webnode.cz/
18,Dvůr Haniš,info@dvurhanis.cz,https://dvurhanis.cz,Královohradecký,od Hradce Králové,do 40,40,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Wellness, okrasná zahrada","do 100.000,-","do 200.000,-",,https://dvurhanis.cz
19,Sál Wybranetz,jmdruzstvo@seznam.cz,https://www.jmdruzstvo.cz/cafe-a-sal-wybranetz,Moravskoslezský,od Ostravy,nad 150,150,Sál,Ano - do 10 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"petfriendly, sál k dispozici pro přípravy i den předem, možnost popravek, realizace ""na přání""","do 50.000,-","do 100.000,-","Žádné předdefinované balíčky, vše o domluvě s klientem",https://www.jmdruzstvo.cz/cafe-a-sal-wybranetz
20,Penzion Račí údolí,recepce@raciudoli.cz,https://raciudoli.cz,Olomoucký,od Šumperka,do 100,100,"Příroda (louka, les, u vody)",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,Dle domluvy,ověřit detail,"finská sauna a ochlazení v potoce, koupele a zábaly, masáže, hřiště, vodní rezervoár, tenisový kurt, tančírna 10 minut od areálu, vyhlídka Čertovy kameny ...","pronájem celého areálu i s ubytováním na dvě noci 70.000,-, další možnosti jsou: pronájem celého areálu pouze na jednu noc - cena je vyšší, a nebo pronájem jednotlivých prostor např sálu - 18.000 Kč, 1x párty stan 10.000 Kč atd.","záleží, zda novomanželé chtějí kompletní balíček (pronájem celého areálu, výzdobu na přání, catering, atd.)","Děláme i kompletní výzdobu dle přání novomanželů, i vlastní grafiku (cedule), sestavíme veškerý catering (oběd, rauty), máme vlastně vyřezanou slavobránu i lavice v lesíku, děláme kouzelné svatby v přírodě, celý den se staráme o celý chod svatby, spolupracujeme s ověřenou floristkou, fotografem, videokameramanem, dj, smyčcovým triem atd..",https://raciudoli.cz
21,Penzion v Polích,info@penzionvpolich.cz,https://penzionvpolich.cz,Středočeský,od Prahy,do 60,60,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,Bazén,Dle domluvy,"do 200.000,-",,https://penzionvpolich.cz
22,Statek Vletice,statekvletice@gmail.com,https://statekvletice.cz/,Středočeský,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"wellness, bazén, vše na jednom místě, les, příroda, rybníček, genius loci","do 150.000,-","do 300.000,-",viz email s kompletni nabdkou,https://statekvletice.cz/
23,Samota Pierre,info@samotapierre.cz,https://samotapierre.cz,Pardubický,od Prahy,do 100,100,Zajímavé místo / unikát,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,Pejsek povolen,"do 200.000,-","do 500.000,-",,https://samotapierre.cz
24,Hostinec Ve Statku,maryskavestatku@seznam.cz,https://www.hostinecvestatku.cz/,Královohradecký,od Prahy,do 60,60,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Pro děti dětské hřiště, máme sál na hostinu, ale možnost sedět i venku, jsme vesnické stavení, z obou stran mají sousedi koně, na pastvině nám běhají ovečky, ideální místo pro svatebčany, kteří mají děti.","Dle sezóny, v zimě kvůli topení je cena vyšší, ale dle domluvy, určitě to není ani 50 000 Kč","do 100.000,-",Kvalitní česká kuchyně za příznivé ceny a rodinný přístup.,https://www.hostinecvestatku.cz/
25,Hotel Chateau St. Havel,ondrej.rindos@chateauhotel.cz,https://chateauhotel.cz,Praha,,nad 150,150,Zámek,Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,,Dle domluvy,je nám to jedno,,https://chateauhotel.cz
26,Stodola v meruňkovém sadu,stodolavsadu@email.cz,https://www.stodolavmerunkovemsadu.cz/,Jihomoravský,od Brna,do 150,150,"Mlýn, stodola, statek",Nemáme,Nemáme,"Obřad, hostina, párty","Podmínkou pronájmu je náš catering, snoubenci si mohou zajistit kompletní alkohol",ověřit detail,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,,"do 50.000,-",,,https://www.stodolavmerunkovemsadu.cz/
27,Penzion MAVL Přeštěnice,v.mara@mavl.cz,https://mavl.cz,Jihočeský,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,,"do 50.000,-","do 200.000,-",www.penzionprestenice.cz,https://mavl.cz
28,Resort Mlýn Černovice,obchod@resortmlyn.cz,https://resortmlyn.cz,,Je nám to jedno,do 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Wellness, sauna, rybník, svatební molo, pergolu, pejsky vítáme","do 50.000,-","do 300.000,-",,https://resortmlyn.cz
29,Peckův mlýn,peckuvmlyn@seznam.cz,https://www.peckuvmlyn-svatby.cz/,Plzeňský,od Prahy,do 80,80,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"herna - stolní tenis kulečník, fotbálek, neomezené parkování, rybník na zahradě, bez sousedů - úplná samota","do 100.000,-","do 100.000,-",,https://www.peckuvmlyn-svatby.cz/
30,Resort Erich,hackova@saz.cz,https://saz.cz,Jihomoravský,od Brna,do 100,100,Hotelový styl,Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Wellness, pes ano, ubytování ve třech typech (hotelové pokoje, chatky, apartmány).","do 50.000,-","Záleží na počtu hostů, poskytnutých služeb.",,https://saz.cz
31,Zámek Čechy pod Kosířem,kastelancpk@vmo.cz,https://vmo.cz,Olomoucký,od Olomouce,nad 150,150,Zámek,Ano - v okolí do 10 minut,"ano, přímo v místě",Pouze obřad a hostina,Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze potřeba nastavit hudbu, aby nerušila okolí",možné po 22:00 dle podmínek,"Zvířecí mazlíčci vítáni, možnost speciální prohlídky zámku, unikátní zámecký park s rybníky (od 2. pol. roku 2026 půjčovna lodiček)","do 50.000,-","do 100.000,-",,https://vmo.cz
32,FABRIKA 1861 - Semilské Versailles,lenka.moravcova@fabrika1861.cz,https://fabrika1861.cz,Liberecký,od Prahy,nad 150,150,"Industriál (hala, továrna, loft)",Nemáme,Nemáme,"Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Zajímavé zákoutí pro fotky, blízká Riegrova stezka a řeka Jizera, fontána na nádvoří, uzavřený areál, vlastní parkoviště, zvířata ve venkovních prostorech (uvnitř dle domluvy)","do 70.000,-",je nám to jedno,"Nacházíme se v Českém ráji. Rádi pomůžeme s dodavateli, fotografem, ubytováním v okolí a přepravou mezi nimi. Během roku bude naše nabídka rozšířena o zrenovovaný luxusní prostor také v našem areálu.",https://fabrika1861.cz
33,zámek Wichterle - hotel a pivní lázně,j.balouskova@nicoma.cz,https://nicoma.cz,Zlínský,"Zlín, Trenčín, Vsetín, Uherské Hradiště",do 40,40,Zámek,Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"max do 22.hod pokud nebydlí, pokud se zarezervuje celý hotel tak bez omezení",ověřit detail,"zámecký park pro obřad je součástí hotelu, wellness, pivní lázně","dle podmínek - v týdnu, o víkendu, individuálně naceníme","dle podmínek - uzavřený celý hotel - víkend, nebo pouze hostina - dle individuálního požadavku",není povolen pes,https://nicoma.cz
34,"Pivovar Beránek , Stěžery",info@pivovarberanek.cz,https://pivovarberanek.cz,Královohradecký,od Hradce Králové,do 100,100,"Industriál (hala, továrna, loft)",Ano - v okolí do 10 minut,"ano, přímo v místě",Pouze obřad a hostina,Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,,"do 50.000,-","do 200.000,-",,https://pivovarberanek.cz
35,Stodola Na Mlejně,stodolanamlejne@email.cz,https://stodola-na-mlejne-8.webnode.cz/,Královohradecký,"20min od Hradce Králové, 1h od Prahy",do 100,100,"rybníček, jezírko, ovocné sady, louka, velká květinová zahrada",Ano - do 30 osob,"ano, přímo v místě","snoubenci si mohou zajistit své dodavatele, ale rádi doporučíme ověřené","doporučujeme jeden catering, za příplatek mohou mít jiný, pití vlastní",ověřit detail,"po 22.h je hudba možná jen ve stodole, není pak časově omezeno",možné po 22:00 dle podmínek,"zvířátka povolena, rybníček s molem, ovocné sady, louky, pole s obilím, velká květinová zahrada s vlastní produkcí květin pro výzdobu, koordinace od majitele",90 000 s ubytováním pro 30 osob,"do 300.000,-",,https://stodola-na-mlejne-8.webnode.cz/
36,Zámek Niměřice,bara.heresova@zamek-nimerice.cz,https://zamek-nimerice.cz,Středočeský,"Do 90 minut jsme od: Prahy (45 min), Hradce Králové (80 min), Liberce (30 min)",do 150,150,Zámek,Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,Pejsci povoleni. Nádherný rozlehlý anglický park.,"do 200.000,-","do 500.000,-",Možnost svatby pátek - neděle.,https://zamek-nimerice.cz
37,Grandhotel Pupp,event@pupp.cz,https://pupp.cz,Karlovarský,od Prahy,nad 150,150,Hotelový styl,Ano - vice jak 80 osob,"ano, přímo v místě",hostina + párty + ubytování,Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Dle domluvy,ověřit detail,"wellness, možnost hotelových snídaní","do 200.000,-","nad 500.000,-",nepronajímáme sál pro svatby bez ubytování,https://pupp.cz
38,Restaurace 100dola,info@stodolaklatovy.cz,https://stodolaklatovy.cz,Plzeňský,"od Prahy 90 minut, od Plzně 30 min",do 60,60,"Restaurace typu stodola s velkým venkovním prostorem, dětským hřištěm.",Nemáme,Nemáme,"Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Většinou do 22:00, pak třeba stlumit prostředí",ověřit detail,"Pes, dětské hřiště","do 50.000,-","do 100.000,-",,https://stodolaklatovy.cz
39,Hájenka pod větrníky,kika.kovarikova@seznam.cz,https://hajenkapodvetrniky.cz/,Jihomoravský,od Brna,do 100,100,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Celý areál Hájenky pro sebe, svatba na pohodu (dvě noci), vnitřní bazén, venkovní jezírko, přilehlý lesík, parkování..","do 150.000,-",je nám to jedno,,https://hajenkapodvetrniky.cz/
40,Penzion Jurášek,recepce@penzionjurasek.cz,https://penzionjurasek.cz,Moravskoslezský,,do 60,60,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Dle domluvy,ověřit detail,,"do 50.000,-","do 200.000,-",,https://penzionjurasek.cz
41,Zámecký resort Štáblovice,zameckarestaurace@stablovice.cz,https://stablovice.cz,Moravskoslezský,Je nám to jedno,do 150,150,Zámek,Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,Vše dle domluvy,"do 50.000,-",je nám to jedno,,https://stablovice.cz
42,PARKHOTEL Sokolov,jiri.stadnik@parkhotel-sokolov.cz,https://parkhotel-sokolov.cz,Karlovarský,od Prahy,do 100,100,v Zámeckém parku,Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Wellness, možnost mít psa",Dle domluvy,"do 100.000,-",,https://parkhotel-sokolov.cz
